input	prediction
CTPE	B-Diagnostic_Procedure
,	O
he	O
remained	O
afebrile	B-Finding
and	O
was	O
ultimately	O
discharged	O
with	O
persistent	B-Functional_Concept
tachycardia	B-Finding
in	O
the	O
120s	O
with	O
unknown	O
etiology	O
.	O
<EOS>	----
Since	O
discharge	O
,	O
mom	O
notes	O
that	O
patient	O
has	O
been	O
persistently	B-Functional_Concept
tachycardic	B-Finding
in	O
the	O
110s	O
-	O
150s	O
,	O
the	O
lowest	O
his	B-Health_Care_Activity
HR	I-Health_Care_Activity
ever	O
gets	O
is	O
in	O
the	O
110s	O
while	O
sleeping	O
.	O
<EOS>	----
RR	B-Health_Care_Activity
has	O
also	O
been	O
elevated	O
at	O
20	O
-	O
24	O
.	O
<EOS>	----
O2	B-Laboratory_Procedure
sat	I-Laboratory_Procedure
95	O
-	O
100	O
%	O
with	O
no	O
hypoxic	B-Finding
episodes	B-Temporal_Concept
.	O
<EOS>	----
Mom	O
thinks	O
that	O
he	O
has	O
been	O
arching	O
his	O
back	O
intermittently	O
and	O
appears	O
to	O
have	O
abdominal	B-Sign_or_Symptom
discomfort	I-Sign_or_Symptom
.	O
<EOS>	----
Mom	O
thinks	O
his	O
urine	O
has	O
been	O
darker	O
than	O
baseline	O
.	O
<EOS>	----
Coming	O
in	O
today	O
due	O
to	O
persistent	B-Pathologic_Function
tachycardia	I-Disease_or_Syndrome
.	O
<EOS>	----
No	O
fevers	B-Sign_or_Symptom
,	O
cough	B-Sign_or_Symptom
,	O
vomiting	B-Sign_or_Symptom
,	O
diarrhea	B-Sign_or_Symptom
,	O
sneezing	B-Finding
,	O
sick	O
contacts	O
.	O
<EOS>	----
Review	O
of	O
Systems	O
<EOS>	----
Constitutional	B-Sign_or_Symptom
symptoms	I-Sign_or_Symptom
:	O
denies	O
fever	B-Sign_or_Symptom
.	O
<EOS>	----
Skin	B-Sign_or_Symptom
symptoms	I-Sign_or_Symptom
:	O
denies	O
rash	B-Sign_or_Symptom
.	O
<EOS>	----
Respiratory	B-Sign_or_Symptom
symptoms	I-Sign_or_Symptom
:	O
denies	O
shortness	B-Sign_or_Symptom
of	I-Sign_or_Symptom
breath	I-Sign_or_Symptom
,	O
denies	O
cough	B-Sign_or_Symptom
,	O
denies	O
wheezing	B-Sign_or_Symptom
.	O
<EOS>	----
Cardiovascular	B-Sign_or_Symptom
symptoms	I-Sign_or_Symptom
:	O
Tachycardia	B-Finding
.	O
<EOS>	----
Gastrointestinal	B-Sign_or_Symptom
symptoms	I-Sign_or_Symptom
:	O
no	O
vomiting	B-Sign_or_Symptom
,	O
no	O
nausea	B-Sign_or_Symptom
.	O
<EOS>	----
Neurologic	B-Finding
symptoms	I-Finding
:	O
no	B-Finding
altered	I-Finding
level	I-Finding
of	I-Finding
consciousness	I-Finding
.	O
<EOS>	----
Psychiatric	B-Mental_or_Behavioral_Dysfunction
symptoms	I-Sign_or_Symptom
:	O
no	O
sleeping	B-Finding
problems	I-Finding
.	O
<EOS>	----
Additional	B-CUI_less
review	I-Health_Care_Activity
of	O
systems	B-Health_Care_Activity
information	I-Health_Care_Activity
:	O
10	O
systems	O
reviewed	O
and	O
negative	O
except	O
as	O
noted	O
above	O
..	O
<EOS>	----
Health	O
Status	O
<EOS>	----
Allergies	O
:	O
<EOS>	----
Allergic	B-Pathologic_Function
Reactions	I-Pathologic_Function
(	O
All	O
)	O
<EOS>	----
Severity	O
Not	O
Documented	O
<EOS>	----
Augmentin	B-Pharmacologic_Substance
-	O
Abdominal	B-Body_Location_or_Region
cramping	B-Sign_or_Symptom
.	O
and	O
diarrhea	B-Sign_or_Symptom
.	O
<EOS>	----
Tegaderm	B-Pharmacologic_Substance
-	O
No	O
reactions	O
were	O
documented	O
.	O
<EOS>	----
Nonallergic	B-Pathologic_Function
Reactions	I-Pathologic_Function
(	O
All	I-Pathologic_Function
)	O
<EOS>	----
Severity	O
Not	O
Documented	O
<EOS>	----
Albuterol	B-Pharmacologic_Substance
-	O
Tachycardia	B-Finding
.	O
<EOS>	----
Canceled	O
/	O
Inactive	O
Reactions	O
(	O
All	O
)	O
<EOS>	----
Severity	O
Not	O
Documented	O
<EOS>	----
Amikacin	B-Antibiotic
-	O
Epistaxis	B-Pathologic_Function
.	O
<EOS>	----
Bactrim	B-Pharmacologic_Substance
-	O
Diarrhea	B-Sign_or_Symptom
and	O
abdominal	B-Sign_or_Symptom
cramping	I-Sign_or_Symptom
..	O
<EOS>	----
Latex	B-CUI_less
-	O
No	O
reactions	O
were	O
documented	O
.	O
<EOS>	----
No	B-Finding
known	I-Finding
allergies	I-Finding
.	O
<EOS>	----
Medications	O
:	O
(	O
Selected	O
)	O
<EOS>	----
Inpatient	O
Medications	O
<EOS>	----
Ordered	O
<EOS>	----
cloBAZam	B-Pharmacologic_Substance
:	O
GTUBE	B-Pharmacologic_Substance
20	O
mg	O
,	O
1time	O
,	O
Dose	O
Form	O
=	O
Tablet	O
,	O
Stop	O
09	O
/	O
12	O
/	O
20	O
22	O
:	O
00	O
:	O
00	O
EDT	O
<EOS>	----
cloBAZam	B-Pharmacologic_Substance
:	O
GTUBE	B-Pharmacologic_Substance
40	O
mg	O
,	O
1time	O
,	O
Dose	O
Form	O
=	O
Tablet	O
,	O
Stop	O
09	O
/	O
12	O
/	O
20	O
20	O
:	O
30	O
:	O
00	O
EDT	O
<EOS>	----
lidocaine	B-Clinical_Drug
5	I-Clinical_Drug
%	I-Clinical_Drug
topical	I-Clinical_Drug
film	I-Clinical_Drug
:	O
TD	O
1	O
patch	O
,	O
1time	O
,	O
Dose	O
Form	O
=	O
Patch	O
,	O
Stop	O
09	O
/	O
12	O
/	O
20	O
21	O
:	O
00	O
:	O
00	O
EDT	O
<EOS>	----
melatonin	B-Pharmacologic_Substance
:	O
GTUBE	B-Pharmacologic_Substance
12	O
mg	O
,	O
1time	O
,	O
Dose	O
Form	O
=	O
Tablet	O
,	O
Stop	O
09	O
/	O
12	O
/	O
20	O
20	O
:	O
30	O
:	O
00	O
EDT	O
<EOS>	----
povidone	B-Clinical_Drug
iodine	I-Clinical_Drug
0.35	O
%	O
irrigation	B-Therapeutic_or_Preventive_Procedure
:	O
Site	B-Therapeutic_or_Preventive_Procedure
Irrigation	I-Therapeutic_or_Preventive_Procedure
1	O
appl	O
,	O
1time	O
,	O
Dose	O
Form	O
=	O
Irrigation	B-Therapeutic_or_Preventive_Procedure
,	O
Stop	O
08	O
/	O
10	O
/	O
20	O
10	O
:	O
00	O
:	O
00	O
EDT	O
<EOS>	----
Prescriptions	O
<EOS>	----
Prescribed	O
<EOS>	----
12FR	O
Gentle	B-Qualitative_Concept
Catheter	B-Medical_Device
,	O
Coude	O
Tip	I-Spatial_Concept
:	O
12FR	O
Gentle	B-Qualitative_Concept
Catheter	B-Medical_Device
,	O
Coude	O
Tip	I-Spatial_Concept
Special	O
Instructions	O
:	O
To	O
empty	O
bladder	O
6x	O
/	O
day	O
<EOS>	----
Please	O
include	O
lubricants	B-Clinical_Drug
and	O
wipes	B-Medical_Device
.	O
<EOS>	----
Rx	O
Indication	O
:	O
Urinary	B-Disease_or_Syndrome
Retention	I-Pathologic_Function
Dispense	O
Quantity	O
:	O
180	O
EA	O
<EOS>	----
Refills	O
:	O
12	O
Stop	O
:	O
09	O
/	O
16	O
/	O
20	O
23	O
:	O
59	O
:	O
00	O
EDT	O
See	O
Instructions	O
<EOS>	----
3ml	B-Medical_Device
Syringes	I-Medical_Device
with	I-Medical_Device
Needles	I-Medical_Device
:	O
3ml	B-Medical_Device
Syringes	I-Medical_Device
with	I-Medical_Device
Needles	I-Medical_Device
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
use	O
as	O
directed	O
with	O
amikacin	B-Antibiotic
,	O
Dispense	O
Quantity	O
:	O
90	O
EA	O
,	O
Refills	O
:	O
1	O
,	O
Entered	O
:	O
06	O
/	O
13	O
/	O
20	O
9	O
:	O
11	O
:	O
00	O
EDT	O
,	O
CarePlus	O
(	O
CVS	O
Specialty	O
)	O
#	O
2971	O
<EOS>	----
3ml	B-Medical_Device
Syringes	I-Medical_Device
with	I-Medical_Device
Needles	I-Medical_Device
:	O
3ml	B-Medical_Device
Syringes	I-Medical_Device
with	I-Medical_Device
Needles	I-Medical_Device
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
use	O
as	O
directed	O
with	O
amikcain	O
,	O
Dispense	O
Quantity	O
:	O
90	O
EA	O
,	O
Refills	O
:	O
1	O
,	O
Entered	O
:	O
02	O
/	O
19	O
/	O
20	O
12	O
:	O
13	O
:	O
00	O
EST	O
,	O
CarePlus	O
(	O
CVS	O
Specialty	O
)	O
#	O
2971	O
<EOS>	----
Catapres	B-Clinical_Drug
-	I-Clinical_Drug
TTS	I-Clinical_Drug
-	O
3	O
0.3	O
mg	O
/	O
24	O
hr	O
transdermal	B-Clinical_Drug
film	I-Clinical_Drug
,	O
extended	B-Functional_Concept
release	I-Clinical_Drug
:	O
Dose	O
Amount	O
:	O
1	O
patch	O
,	O
TOP	O
,	O
Weekly	O
,	O
Dispense	O
Quantity	O
:	O
13	O
patch	O
,	O
Refills	O
:	O
1	O
,	O
Entered	O
:	O
06	O
/	O
09	O
/	O
20	O
9	O
:	O
22	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
Coenzyme	B-Pharmacologic_Substance
Q10	I-Pharmacologic_Substance
150mg	O
/	O
Lipoic	B-Pharmacologic_Substance
Acid	I-Pharmacologic_Substance
150mg	O
/	O
5ml	O
:	O
Coenzyme	B-Pharmacologic_Substance
Q10	I-Pharmacologic_Substance
150mg	O
/	O
Lipoic	B-Pharmacologic_Substance
Acid	I-Pharmacologic_Substance
150mg	O
/	O
5ml	O
,	O
Dose	O
Amount	O
:	O
5	O
mL	O
,	O
GTUBE	O
,	O
BID	O
,	O
Dispense	O
Quantity	O
:	O
300	O
mL	O
,	O
Refills	O
:	O
5	O
,	O
Entered	O
:	O
05	O
/	O
13	O
/	O
20	O
15	O
:	O
36	O
:	O
00	O
EDT	O
,	O
ACC	O
Apothecary	O
<EOS>	----
Depakene	B-Pharmacologic_Substance
250	O
mg	O
/	O
5	O
mL	O
oral	B-Clinical_Drug
liquid	I-Clinical_Drug
:	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
6	O
ml	O
6	O
am	O
,	O
7ml	O
noon	O
,	O
6ml	O
6	O
pm	O
,	O
7	O
ml	O
nidnight	O
,	O
all	O
doses	O
per	O
G	O
tube	O
90	O
day	O
supply	O
<EOS>	----
(	O
MUST	O
BE	O
PAI	O
MANUFACTURER	O
ONLY	O
)	O
,	O
Dispense	O
Quantity	O
:	O
4	O
,	O
920	O
mL	O
,	O
Refills	O
:	O
3	O
,	O
Entered	O
:	O
08	O
/	O
23	O
/	O
20	O
7	O
:	O
44	O
:	O
00	O
EDT	O
<EOS>	----
Florastor	O
Kids	O
250	O
mg	O
oral	O
powder	I-Clinical_Drug
for	O
reconstitution	O
:	O
Dose	O
Amount	O
:	O
1	O
packet	O
,	O
GTUBE	O
,	O
daily	O
,	O
Dispense	O
Quantity	O
:	O
30	O
EA	O
,	O
Refills	O
:	O
3	O
,	O
Entered	O
:	O
03	O
/	O
05	O
/	O
20	O
10	O
:	O
00	O
:	O
00	O
EST	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
Gloves	B-Medical_Device
(	O
size	O
medium	O
or	O
large	O
)	O
:	O
Gloves	B-Medical_Device
(	O
size	O
medium	O
or	O
large	O
)	O
Special	O
Instructions	O
:	O
to	O
be	O
used	O
for	O
daily	B-Health_Care_Activity
personal	I-Health_Care_Activity
hygiene	I-Health_Care_Activity
.	O
<EOS>	----
Diagnosis	O
:	O
incontinence	O
,	O
choreoathetosis	B-Disease_or_Syndrome
Dispense	O
Quantity	O
:	O
4	O
EA	O
<EOS>	----
Refills	O
:	O
11	O
Stop	O
:	O
09	O
/	O
12	O
/	O
20	O
23	O
:	O
59	O
:	O
00	O
EDT	O
See	O
Instructions	O
<EOS>	----
Insert	B-Medical_Device
liners	O
:	O
Insert	B-Medical_Device
liners	I-Medical_Device
Special	O
Instructions	O
:	O
To	O
be	O
used	O
with	O
diapers	O
.	O
<EOS>	----
Diagnosis	O
:	O
incontinence	B-Finding
and	O
choreoathetosis	B-Disease_or_Syndrome
.	O
<EOS>	----
Dispense	O
Quantity	O
:	O
240	O
EA	O
<EOS>	----
Refills	O
:	O
11	O
Stop	O
:	O
09	O
/	O
12	O
/	O
20	O
23	O
:	O
59	O
:	O
00	O
EDT	O
See	O
Instructions	O
<EOS>	----
K	B-Pharmacologic_Substance
-	I-Pharmacologic_Substance
Phos	I-Pharmacologic_Substance
Original	B-CUI_less
500	O
mg	O
oral	O
tablet	O
:	O
Dose	O
:	O
500	O
mg	O
,	O
Dose	O
Amount	O
:	O
1	O
tab	O
,	O
PO	O
,	O
TID	O
,	O
Special	O
Instructions	O
:	O
Take	O
separately	O
from	O
calcium	B-Pharmacologic_Substance
supplement	I-Pharmacologic_Substance
by	O
at	O
least	O
2	O
hours	O
,	O
Dispense	O
Quantity	O
:	O
270	O
tab	O
,	O
Refills	O
:	O
3	O
,	O
Entered	O
:	O
05	O
/	O
13	O
/	O
20	O
14	O
:	O
04	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
LaMICtal	B-Pharmacologic_Substance
100	O
mg	O
oral	O
tablet	O
:	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
5	O
tabs	O
(	O
500	O
mgs	O
)	O
q	O
am	O
per	O
G	O
tube	O
<EOS>	----
Brand	O
Name	O
Only	O
<EOS>	----
90	O
day	O
supply	O
,	O
Dispense	O
Quantity	O
:	O
450	O
tab	O
,	O
Refills	O
:	O
2	O
,	O
Entered	O
:	O
04	O
/	O
13	O
/	O
20	O
16	O
:	O
26	O
:	O
00	O
EDT	O
,	O
Dispense	O
as	O
Written	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
Melatonin	B-Pharmacologic_Substance
3mg	O
/	O
ml	O
:	O
Melatonin	B-Pharmacologic_Substance
3mg	O
/	O
ml	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
compunded	O
to	O
3mg	O
/	O
ml	O
concentration	O
.	O
Give	O
4ml	O
via	O
GT	O
QHS	O
<EOS>	----
Please	O
provide	O
90	O
Day	O
supply	O
,	O
Dispense	O
Quantity	O
:	O
360	O
mL	O
,	O
Refills	O
:	O
3	O
,	O
Entered	O
:	O
06	O
/	O
09	O
/	O
20	O
9	O
:	O
22	O
:	O
00	O
EDT	O
,	O
ACC	O
Apothecary	O
<EOS>	----
MiraLax	B-Clinical_Drug
oral	I-Clinical_Drug
powder	I-Clinical_Drug
for	O
reconstitution	O
:	O
Dose	O
:	O
17	O
g	O
,	O
GTUBE	O
,	O
TID	O
,	O
Special	O
Instructions	O
:	O
may	O
divide	O
the	B-Clinical_Drug
medication	I-Clinical_Drug
into	O
1	O
or	O
2	O
doses	O
if	O
more	O
convienent	O
,	O
Dispense	O
Quantity	O
:	O
1530	O
g	O
,	O
<EOS>	----
Refills	O
:	O
3	O
,	O
Entered	O
:	O
06	O
/	O
11	O
/	O
20	O
17	O
:	O
20	O
:	O
00	O
EDT	O
,	O
<EOS>	----
Indication	O
:	O
constipation	B-Sign_or_Symptom
for	O
pts	O
5	O
-	O
12	O
yo	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
Onfi	B-Pharmacologic_Substance
2.5	O
mg	O
/	O
mL	O
oral	B-Clinical_Drug
suspension	I-Clinical_Drug
:	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
7.5	O
mg	O
(	O
3	O
mLs	O
)	O
pgt	O
qAM	O
and	O
8.75	O
mg	O
(	O
3.5	O
mLs	O
)	O
pgt	O
qAfternoon	O
.	O
<EOS>	----
Also	O
uses	O
tabs	O
for	O
later	O
dosings	O
.	O
,	O
Dispense	O
Quantity	O
:	O
195	O
mL	O
,	O
<EOS>	----
Refills	O
:	O
5	O
,	O
Entered	O
:	O
04	O
/	O
28	O
/	O
20	O
6	O
:	O
26	O
:	O
00	O
EDT	O
,	O
Dispense	O
as	O
Written	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
ResMed	B-CUI_less
AirCurve	I-CUI_less
10ST	O
-	O
A	O
set	O
to	O
BiPAP	B-CUI_less
of	O
20	O
/	O
11	O
cmH2O	O
with	O
a	O
backup	O
rate	O
of	O
18	O
breaths	O
/	O
minute	O
with	O
mas	B-CUI_less
...	O
:	O
ResMed	B-CUI_less
AirCurve	I-CUI_less
10ST	O
-	O
A	O
set	O
to	O
BiPAP	B-CUI_less
of	O
20	O
/	O
11	O
cmH2O	O
with	O
a	O
backup	O
rate	O
of	O
18	O
breaths	O
/	O
minute	O
with	O
mask	B-Medical_Device
,	O
cushions	B-Medical_Device
,	O
headgear	B-Medical_Device
,	O
tubing	B-Medical_Device
,	O
filters	B-Medical_Device
,	O
heated	B-Medical_Device
humidifier	I-Medical_Device
,	O
downloadable	O
compliance	O
information	O
Special	O
Instructions	O
:	O
Replacement	B-Therapeutic_or_Preventive_Procedure
machine	I-Medical_Device
for	O
broken	B-Finding
mach	O
...	O
<EOS>	----
Solu	B-Pharmacologic_Substance
-	I-Pharmacologic_Substance
CORTEF	I-Pharmacologic_Substance
Act	O
-	O
O	O
-	O
Vial	O
100	O
mg	O
injection	O
:	O
Dose	O
:	O
100	O
mg	O
,	O
IM	O
,	O
OUT	O
-	O
PT	O
as	O
directed	O
,	O
PRN	O
EMERGENCY	O
illness	O
,	O
unresponsive	B-Finding
,	O
unable	B-Finding
to	I-Finding
tolerate	I-Finding
oral	B-Finding
meds	I-Finding
,	O
vomiting	B-Sign_or_Symptom
,	O
severe	B-Qualitative_Concept
lethargy	B-Sign_or_Symptom
,	O
etc	O
.	O
,	O
Dispense	O
Quantity	O
:	O
2	O
EA	O
,	O
Refills	O
:	O
11	O
,	O
Entered	O
:	O
10	O
/	O
03	O
/	O
19	O
13	O
:	O
43	O
:	O
07	O
EDT	O
,	O
Dispense	O
as	O
Written	O
,	O
CVS	O
/	O
pharmacy	O
#	O
2162	O
<EOS>	----
Underpads	O
(	O
disposable	O
and	O
reusable	O
)	O
:	O
Underpads	O
(	O
disposable	O
and	O
reusable	O
)	O
Special	O
Instructions	O
:	O
To	O
be	O
used	O
for	O
incontinence	B-Pathologic_Function
.	O
<EOS>	----
Diagnosis	O
:	O
incontinence	B-Finding
,	O
epilepsy	B-Disease_or_Syndrome
and	O
choreoathetosis	B-Disease_or_Syndrome
Dispense	O
Quantity	O
:	O
2	O
EA	O
<EOS>	----
Refills	O
:	O
11	O
Stop	O
:	O
09	O
/	O
12	O
/	O
20	O
23	O
:	O
59	O
:	O
00	O
EDT	O
See	O
Instructions	O
<EOS>	----
acetaminophen	B-Pharmacologic_Substance
160	O
mg	O
/	O
5	O
mL	O
oral	O
liquid	I-Clinical_Drug
:	O
Dose	O
:	O
480	O
mg	O
,	O
Dose	O
Amount	O
:	O
15	O
mL	O
,	O
PO	O
,	O
Q4hr	O
,	O
PRN	O
Fever	B-Sign_or_Symptom
(	O
Temp	B-Health_Care_Activity
>	O
/	O
=	O
37.5	O
degrees	I-CUI_less
Celsius	I-CUI_less
)	O
,	O
Dispense	O
Quantity	O
:	O
480	O
mL	O
,	O
Refills	O
:	O
1	O
,	O
Entered	O
:	O
07	O
/	O
10	O
/	O
20	O
13	O
:	O
21	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
amikacin	B-Antibiotic
250	O
mg	O
/	O
mL	O
injectable	I-Clinical_Drug
solution	I-Clinical_Drug
:	O
Dose	O
:	O
250	O
mg	O
,	O
INH	B-Pharmacologic_Substance
,	O
Q8hr	O
,	O
Special	O
Instructions	O
:	O
Dilute	O
in	O
3ml	O
of	O
sterile	O
water	O
and	O
nebulize	B-Therapeutic_or_Preventive_Procedure
3	O
times	O
/day	O
<EOS>	----
for	O
28	O
days	O
.	O
<EOS>	----
alternate	O
every	O
other	O
month	O
,	O
Dispense	O
Quantity	O
:	O
90	O
vial	O
,	O
<EOS>	----
Refills	O
:	O
1	O
,	O
Entered	O
:	O
06	O
/	O
13	O
/	O
20	O
9	O
:	O
11	O
:	O
00	O
EDT	O
,	O
CarePlus	O
(	O
CVS	O
Specialty	O
)	O
#	O
2971	O
<EOS>	----
azithromycin	B-Antibiotic
200	O
mg	O
/	O
5	O
mL	O
oral	B-Therapeutic_or_Preventive_Procedure
liquid	I-Clinical_Drug
:	O
Dose	O
:	O
200	O
mg	O
,	O
Dose	O
Amount	O
:	O
5	O
mL	O
,	O
GTUBE	O
,	O
Mon	O
/	O
Wed	O
/	O
Fri	O
,	O
Dispense	O
Quantity	O
:	O
195	O
mL	O
,	O
Refills	O
:	O
1	O
,	O
Entered	O
:	O
06	O
/	O
13	O
/	O
20	O
9	O
:	O
11	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
aztreonam	B-Antibiotic
75	O
mg	O
inhalation	O
powder	I-Clinical_Drug
for	O
reconstitution	O
:	O
Dose	O
:	O
75	O
mg	O
,	O
INH	B-Antibiotic
,	O
TID	O
,	O
Special	O
Instructions	O
:	O
28	O
days	O
on	O
/	O
28	O
days	O
off	O
,	O
Dispense	O
Quantity	O
:	O
84	O
mL	O
,	O
Refills	O
:	O
5	O
,	O
Entered	O
:	O
12	O
/	O
17	O
/	O
19	O
14	O
:	O
59	O
:	O
00	O
EST	O
,	O
CVS	O
SPECIALTY	O
Pharmacy	O
<EOS>	----
calcium	B-Pharmacologic_Substance
carbonate	I-Pharmacologic_Substance
1250	O
mg	O
/	O
5	O
mL	O
(	O
100	O
mg	O
/	O
mL	O
elemental	B-Pharmacologic_Substance
calcium	I-Pharmacologic_Substance
)	O
oral	B-Clinical_Drug
suspension	I-Clinical_Drug
:	O
Dose	O
:	O
625	O
mg	O
,	O
Dose	O
Amount	O
:	O
2.5	O
mL	O
,	O
GTUBE	O
,	O
daily	O
,	O
Special	O
Instructions	O
:	O
Separate	O
calcium	B-Pharmacologic_Substance
and	O
phos	B-CUI_less
suppl	O
by	O
at	O
least	O
2	O
hr	O
.	O
<EOS>	----
Incr	O
to	O
6mL	O
BIDx7d	O
beginning	O
AM	O
of	O
each	O
bisphosphonate	B-Pharmacologic_Substance
infusion	B-Therapeutic_or_Preventive_Procedure
,	O
Dispense	O
Quantity	O
:	O
500	O
mL	O
,	O
<EOS>	----
Refills	B-Therapeutic_or_Preventive_Procedure
:	O
11	O
,	O
Entered	O
:	O
08	O
/	O
30	O
/	O
20	O
12	O
:	O
30	O
:	O
0	O
...	O
<EOS>	----
cetirizine	B-Pharmacologic_Substance
1	O
mg	O
/	O
mL	O
oral	B-Clinical_Drug
syrup	I-Clinical_Drug
:	O
Dose	O
:	O
10	O
mg	O
,	O
Dose	O
Amount	O
:	O
10	O
mL	O
,	O
GTUBE	O
,	O
daily	O
,	O
Dispense	O
Quantity	O
:	O
300	O
mL	O
,	O
Refills	O
:	O
4	O
,	O
Entered	O
:	O
06	O
/	O
10	O
/	O
20	O
15	O
:	O
33	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
cloBAZam	B-Pharmacologic_Substance
10	O
mg	O
oral	O
tablet	I-Clinical_Drug
:	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
taken	O
with	O
liquid	O
am	O
doses	B-Quantitative_Concept
:	O
4	O
tabs	O
at	O
8.30pm	O
,	O
2	O
tabs	O
at	O
10	O
pm	O
,	O
-	O
per	O
G	O
tube	O
,	O
Dispense	O
Quantity	O
:	O
225	O
tab	O
,	O
Refills	O
:	O
5	O
,	O
Entered	O
:	O
06	O
/	O
09	O
/	O
20	O
17	O
:	O
58	O
:	O
00	O
EDT	O
,	O
Dispense	O
as	O
Written	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
cloNIDine	B-Pharmacologic_Substance
0.1	O
mg	O
oral	O
tablet	I-Clinical_Drug
:	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
0.5	O
tab	O
/	O
50mcg	O
via	O
GTUBE	O
q	O
am	O
and	O
1	O
tab	O
/	O
100mcg	O
q	O
hs	O
,	O
as	O
needed	O
for	O
breakthrough	B-Qualitative_Concept
agitation	B-Sign_or_Symptom
or	O
insomnia	B-Sign_or_Symptom
.	O
90	O
day	O
suply	O
,	O
Dispense	O
Quantity	O
:	O
135	O
tab	O
,	O
Refills	O
:	O
5	O
,	O
Entered	O
:	O
08	O
/	O
04	O
/	O
20	O
9	O
:	O
38	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
0130	O
<EOS>	----
diazePAM	B-Pharmacologic_Substance
5	O
mg	O
/	O
5	O
mL	O
oral	I-Clinical_Drug
solution	I-Clinical_Drug
:	O
Dose	O
:	O
1	O
mg	O
,	O
Dose	O
Amount	O
:	O
1	O
mL	O
,	O
GTUBE	O
,	O
QID	O
,	O
Take	O
for	O
14	O
day	O
,	O
Special	O
Instructions	O
:	O
Please	O
take	O
Q6Hr	O
for	O
4	O
days	O
,	O
then	O
Q8Hr	O
for	O
3	O
days	O
,	O
then	O
Q12Hr	O
for	O
3	O
days	O
,	O
then	O
Q24Hr	O
for	O
3	O
days	O
,	O
Dispense	O
Quantity	O
:	O
56	O
mL	O
,	O
Entered	O
:	O
08	O
/	O
30	O
/	O
20	O
8	O
:	O
22	O
:	O
00	O
EDT	O
,	O
Stop	O
:	O
09	O
/	O
13	O
/	O
20	O
...	O
<EOS>	----
diclofenac	B-Clinical_Drug
1	I-Clinical_Drug
%	I-Clinical_Drug
topical	I-Clinical_Drug
gel	I-Clinical_Drug
:	O
Dose	O
:	O
2	O
g	O
,	O
TOP	O
,	O
QID	O
,	O
Dispense	O
Quantity	O
:	O
240	O
g	O
,	O
Entered	O
:	O
08	O
/	O
29	O
/	O
20	O
19	O
:	O
30	O
:	O
00	O
EDT	O
,	O
Stop	O
:	O
09	O
/	O
30	O
/	O
20	O
10	O
:	O
00	O
:	O
00	O
EDT	O
,	O
CVS	O
/	O
pharmacy	O
#	O
2162	O
<EOS>	----
electrolyte	B-Therapeutic_or_Preventive_Procedure
replacement	I-Therapeutic_or_Preventive_Procedure
oral	I-Therapeutic_or_Preventive_Procedure
solution	I-Therapeutic_or_Preventive_Procedure
:	O
See	O
Instructions	O
,	O
Special	O
Instructions	O
:	O
Give	O
450	O
ml	O
Pedialyte	B-Pharmacologic_Substance
mixed	O
with	O
21	O
grams	O
of	O
Beneprotein	B-Pharmacologic_Substance
and	O
1	O
/	O
4	O
tsp	O
Morton	B-Clinical_Drug
Lite	I-Clinical_Drug
salt	I-Clinical_Drug
an	O
give	O
in	O
50	O
ml	O
increments	O
by	O
J	B-Medical_Device
-	I-Medical_Device
tube	I-Medical_Device
through	O
the	O
day	O
.	O
,	O
Dispense	O
Quantity	O
:	O
14	O
,	O
000	O
mL	O
,	O
Refills	O
:	O
11	O
,	O
Entered	O
:	O
02	O
/	O
25	O
/	O
20	O
16	O
:	O
40	O
:	O
00	O
...	O
<EOS>	----
ergocalciferol	B-Pharmacologic_Substance
8000	O
intl	O
units	O
/	O
mL	O
oral	B-Clinical_Drug
solution	I-Clinical_Drug
:	O
Dose	O
:	O
1	O
,	O
200	O
unit	O
,	O
Dose	O
Amount	O
:	O
0.15	O
mL	O
,	O
GTUBE	O
,	O
daily	O
,	O
Dispense	O
Quantity	O
:	O
